web-scraper-order,web-scraper-start-url,Name
1683750513-1,https://www.gbif.org/species/194977013,Fraxinus albicans Buckley
1683750513-2,https://www.gbif.org/species/194977013,Fraxinus americana
1683750513-3,https://www.gbif.org/species/194977013,Fraxinus angustifolia
1683750513-4,https://www.gbif.org/species/194977013,Fraxinus anomala
1683750513-5,https://www.gbif.org/species/194977013,Fraxinus apertisquamifera
1683750513-6,https://www.gbif.org/species/194977013,Fraxinus baroniana
1683750513-7,https://www.gbif.org/species/194977013,Fraxinus berlandieriana
1683750513-8,https://www.gbif.org/species/194977013,Fraxinus bornmuelleri
1683750513-9,https://www.gbif.org/species/194977013,Fraxinus bungeana
1683750513-10,https://www.gbif.org/species/194977013,Fraxinus caroliniana
1683750513-11,https://www.gbif.org/species/194977013,Fraxinus chiisanensis
1683750513-12,https://www.gbif.org/species/194977013,Fraxinus chinensis
1683750513-13,https://www.gbif.org/species/194977013,Fraxinus cuspidata
1683750513-14,https://www.gbif.org/species/194977013,Fraxinus depauperata
1683750513-15,https://www.gbif.org/species/194977013,Fraxinus dimorpha
1683750513-16,https://www.gbif.org/species/194977013,Fraxinus dipetala
1683750513-17,https://www.gbif.org/species/194977013,Fraxinus excelsior
1683750513-18,https://www.gbif.org/species/194977013,Fraxinus ferruginea
1683750513-19,https://www.gbif.org/species/194977013,Fraxinus floribunda
1683750513-20,https://www.gbif.org/species/194977013,Fraxinus gooddingii
1683750513-21,https://www.gbif.org/species/194977013,Fraxinus greggii
1683750513-22,https://www.gbif.org/species/194977013,Fraxinus griffithii
1683750513-23,https://www.gbif.org/species/194977013,Fraxinus hookeri
1683750513-24,https://www.gbif.org/species/194977013,Fraxinus hubeiensis
1683750513-25,https://www.gbif.org/species/194977013,Fraxinus insularis
1683750513-26,https://www.gbif.org/species/194977013,Fraxinus lanuginosa
1683750513-27,https://www.gbif.org/species/194977013,Fraxinus latifolia
1683750513-28,https://www.gbif.org/species/194977013,Fraxinus longicuspis
1683750513-29,https://www.gbif.org/species/194977013,Fraxinus malacophylla
1683750513-30,https://www.gbif.org/species/194977013,Fraxinus mandshurica
1683750513-31,https://www.gbif.org/species/194977013,Fraxinus micrantha
1683750513-32,https://www.gbif.org/species/194977013,Fraxinus nigra
1683750513-33,https://www.gbif.org/species/194977013,Fraxinus odontocalyx
1683750513-34,https://www.gbif.org/species/194977013,Fraxinus ornus
1683750513-35,https://www.gbif.org/species/194977013,Fraxinus pallisiae
1683750513-36,https://www.gbif.org/species/194977013,Fraxinus papillosa
1683750513-37,https://www.gbif.org/species/194977013,Fraxinus paxiana
1683750513-38,https://www.gbif.org/species/194977013,Fraxinus pennsylvanica
1683750513-39,https://www.gbif.org/species/194977013,Fraxinus platypoda
1683750513-40,https://www.gbif.org/species/194977013,Fraxinus potosina
1683750513-41,https://www.gbif.org/species/194977013,Fraxinus pringlei
1683750513-42,https://www.gbif.org/species/194977013,Fraxinus profunda
1683750513-43,https://www.gbif.org/species/194977013,Fraxinus punctata
1683750513-44,https://www.gbif.org/species/194977013,Fraxinus purpusii
1683750513-45,https://www.gbif.org/species/194977013,Fraxinus quadrangulata
1683750513-46,https://www.gbif.org/species/194977013,Fraxinus raibocarpa
1683750513-47,https://www.gbif.org/species/194977013,Fraxinus reflexiflora
1683750513-48,https://www.gbif.org/species/194977013,Fraxinus rufescens
1683750513-49,https://www.gbif.org/species/194977013,Fraxinus schiedeana
1683750513-50,https://www.gbif.org/species/194977013,Fraxinus sieboldiana
1683750513-51,https://www.gbif.org/species/194977013,Fraxinus sogdiana
1683750513-52,https://www.gbif.org/species/194977013,Fraxinus stenolepis
1683750513-53,https://www.gbif.org/species/194977013,Fraxinus stylosa
1683750513-54,https://www.gbif.org/species/194977013,Fraxinus suaveolens
1683750513-55,https://www.gbif.org/species/194977013,Fraxinus trifoliolata
1683750513-56,https://www.gbif.org/species/194977013,Fraxinus uhdei
1683750513-57,https://www.gbif.org/species/194977013,Fraxinus velutina
1683750513-58,https://www.gbif.org/species/194977013,Fraxinus xanthoxyloides
1683750513-59,https://www.gbif.org/species/194977013,Fraxinus ×borzae
1683750513-60,https://www.gbif.org/species/194977013,Fraxinus ×cataubiensis
1683750513-61,https://www.gbif.org/species/194977013,Fraxinus ×hybrida
1683750513-62,https://www.gbif.org/species/194977013,Fraxinus ×rehderiana
1683750513-63,https://www.gbif.org/species/194977013,Fraxinus ×veltheimii